,trading_point,open,high,low,close,volume
0,2003/1/1,4416,4437,4400,4405,16638
1,2003/1/3,4411,4485,4381,4452,30522
2,2003/1/4,4551,4594,4536,4571,34522
3,2003/1/7,4573,4646,4563,4635,29242
4,2003/1/8,4687,4700,4639,4641,29228
5,2003/1/9,4650,4822,4642,4771,43932
6,2003/1/10,4765,4810,4752,4785,28134
7,2003/1/11,4845,4847,4792,4828,29798
8,2003/1/14,4868,5025,4851,5025,30692
9,2003/1/15,5025,5075,4993,5009,14340
10,2003/1/16,5088,5088,4960,5044,11278
11,2003/1/17,4990,5027,4932,4940,30322
12,2003/1/18,4930,4959,4903,4925,30126
13,2003/1/21,4892,4976,4882,4968,23498
14,2003/1/22,4968,5035,4931,4939,39820
15,2003/1/23,4910,5006,4910,5002,31334
16,2003/1/24,4998,5087,4996,5085,39858
17,2003/1/25,5085,5110,5053,5063,28302
18,2003/1/28,5014,5036,4941,4956,28746
19,2003/1/29,4957,5026,4941,5022,22528
20,2003/2/7,5007,5007,4766,4775,28156
21,2003/2/8,4781,4819,4622,4699,37950
22,2003/2/11,4679,4705,4620,4640,24830
23,2003/2/12,4669,4690,4622,4635,27616
24,2003/2/13,4619,4676,4530,4637,31978
25,2003/2/14,4610,4625,4485,4485,35554
26,2003/2/15,4512,4560,4472,4489,29160
27,2003/2/18,4580,4699,4580,4690,30584
28,2003/2/19,4682,4682,4610,4636,13434
29,2003/2/20,4680,4683,4541,4545,10494
30,2003/2/21,4536,4575,4507,4560,32742
31,2003/2/22,4566,4584,4512,4540,23238
32,2003/2/25,4575,4625,4514,4601,31360
33,2003/2/26,4540,4548,4434,4450,37750
34,2003/2/27,4480,4485,4442,4451,29982
35,2003/2/28,4410,4470,4362,4408,37404
36,2003/3/4,4453,4525,4435,4515,30658
37,2003/3/5,4461,4484,4430,4469,25400
38,2003/3/6,4400,4438,4380,4389,27320
39,2003/3/7,4410,4423,4385,4397,21262
40,2003/3/8,4348,4385,4321,4355,32740
41,2003/3/11,4380,4390,4314,4335,22904
42,2003/3/12,4275,4307,4231,4250,36678
43,2003/3/13,4260,4309,4251,4305,28120
44,2003/3/14,4273,4380,4267,4353,43728
45,2003/3/15,4520,4548,4476,4479,36020
46,2003/3/18,4420,4444,4316,4318,23586
47,2003/3/19,4451,4613,4451,4538,20338
48,2003/3/20,4531,4552,4491,4520,7266
49,2003/3/21,4560,4608,4483,4588,58088
50,2003/3/22,4574,4583,4547,4580,21212
51,2003/3/25,4630,4639,4540,4541,24642
52,2003/3/26,4453,4496,4453,4475,29154
53,2003/3/27,4500,4514,4462,4470,20110
54,2003/3/28,4456,4497,4442,4496,26098
55,2003/3/29,4496,4496,4441,4453,26608
56,2003/4/1,4410,4413,4264,4286,41096
57,2003/4/2,4261,4303,4261,4301,23550
58,2003/4/3,4285,4332,4250,4295,38498
59,2003/4/4,4383,4388,4322,4338,32874
60,2003/4/5,4308,4481,4297,4469,58090
61,2003/4/8,4501,4582,4465,4572,49734
62,2003/4/9,4483,4605,4472,4547,46046
63,2003/4/10,4515,4525,4491,4505,27032
64,2003/4/11,4492,4585,4481,4511,47820
65,2003/4/12,4525,4555,4493,4516,30126
66,2003/4/15,4521,4549,4426,4449,34280
67,2003/4/16,4479,4488,4445,4475,13234
68,2003/4/17,4510,4628,4510,4625,18028
69,2003/4/18,4553,4579,4540,4557,30424
70,2003/4/19,4639,4675,4620,4660,38174
71,2003/4/22,4650,4657,4612,4657,28056
72,2003/4/23,4620,4628,4559,4571,36164
73,2003/4/24,4600,4619,4552,4570,37150
74,2003/4/25,4580,4580,4322,4356,66910
75,2003/4/26,4300,4346,4211,4211,58616
76,2003/4/29,4171,4180,4060,4125,59486
77,2003/4/30,4183,4208,4110,4195,54166
78,2003/5/1,4235,4255,4105,4135,61048
79,2003/5/3,4105,4215,4103,4189,46382
80,2003/5/6,4200,4207,4133,4190,42200
81,2003/5/7,4205,4243,4180,4185,38330
82,2003/5/8,4205,4252,4193,4245,43088
83,2003/5/9,4232,4234,4156,4165,38880
84,2003/5/10,4157,4259,4157,4224,52882
85,2003/5/13,4225,4287,4206,4245,40118
86,2003/5/14,4298,4342,4292,4316,45738
87,2003/5/15,4317,4338,4292,4338,30702
88,2003/5/16,4314,4325,4270,4324,44350
89,2003/5/17,4335,4366,4260,4260,40614
90,2003/5/20,4235,4254,4212,4239,28348
91,2003/5/21,4193,4243,4169,4226,16822
92,2003/5/22,4231,4247,4213,4240,14748
93,2003/5/23,4195,4245,4165,4241,53622
94,2003/5/24,4275,4344,4261,4340,56882
95,2003/5/27,4358,4447,4342,4444,49586
96,2003/5/28,4452,4460,4415,4434,32940
97,2003/5/29,4590,4591,4465,4485,58762
98,2003/5/30,4470,4498,4445,4453,38534
99,2003/5/31,4469,4602,4456,4510,93152
100,2003/6/3,4559,4670,4557,4665,71018
101,2003/6/4,4650,4664,4616,4658,38336
102,2003/6/6,4706,4748,4691,4725,50768
103,2003/6/7,4735,4736,4677,4732,46128
104,2003/6/10,4683,4810,4675,4800,68656
105,2003/6/11,4766,4832,4765,4821,43574
106,2003/6/12,4821,4845,4781,4795,50904
107,2003/6/13,4820,4905,4811,4881,57280
108,2003/6/14,4870,4900,4853,4890,36046
109,2003/6/17,4869,4938,4866,4903,34114
110,2003/6/18,4989,5037,4961,5037,29392
111,2003/6/19,5020,5123,5001,5015,22776
112,2003/6/20,5030,5069,4965,5069,60750
113,2003/6/21,5025,5055,4993,5019,52520
114,2003/6/24,4995,5025,4925,4925,46640
115,2003/6/25,4885,4908,4855,4906,51936
116,2003/6/26,4886,4949,4875,4940,45972
117,2003/6/27,4911,4925,4876,4885,41074
118,2003/6/28,4925,4942,4825,4861,56788
119,2003/7/1,4840,4890,4833,4885,42218
120,2003/7/2,4875,5044,4872,5038,72536
121,2003/7/3,5072,5156,5060,5140,66888
122,2003/7/4,5194,5210,5111,5122,77890
123,2003/7/5,5139,5196,5100,5191,61628
124,2003/7/8,5218,5370,5211,5370,75074
125,2003/7/9,5410,5432,5344,5382,78750
126,2003/7/10,5359,5403,5352,5375,59544
127,2003/7/11,5365,5393,5250,5250,78862
128,2003/7/12,5206,5267,5174,5265,60432
129,2003/7/15,5265,5433,5265,5412,68548
130,2003/7/16,5422,5435,5320,5328,36388
131,2003/7/17,5356,5443,5333,5429,24852
132,2003/7/18,5360,5388,5245,5251,92764
133,2003/7/19,5251,5298,5221,5255,71888
134,2003/7/22,5282,5315,5196,5239,66680
135,2003/7/23,5239,5297,5215,5293,76660
136,2003/7/24,5310,5344,5283,5307,74312
137,2003/7/25,5325,5415,5315,5415,81176
138,2003/7/26,5380,5415,5365,5384,49692
139,2003/7/29,5454,5497,5451,5475,53860
140,2003/7/30,5467,5469,5333,5355,78526
141,2003/7/31,5345,5374,5280,5308,61662
142,2003/8/1,5312,5339,5265,5330,65132
143,2003/8/2,5359,5410,5352,5390,65788
144,2003/8/5,5360,5378,5337,5370,42490
145,2003/8/6,5389,5410,5258,5269,75036
146,2003/8/7,5210,5242,5205,5242,40384
147,2003/8/8,5235,5298,5186,5281,80224
148,2003/8/9,5281,5294,5206,5206,57314
149,2003/8/12,5200,5251,5164,5251,47308
150,2003/8/13,5260,5275,5240,5265,50892
151,2003/8/14,5315,5480,5301,5471,91976
152,2003/8/15,5464,5493,5420,5466,66406
153,2003/8/16,5490,5560,5475,5490,71626
154,2003/8/19,5531,5543,5470,5539,44084
155,2003/8/20,5640,5648,5521,5555,34456
156,2003/8/21,5543,5567,5520,5520,16146
157,2003/8/22,5545,5636,5503,5611,90206
158,2003/8/23,5624,5688,5612,5613,70292
159,2003/8/26,5609,5674,5593,5665,68286
160,2003/8/27,5630,5638,5542,5580,77782
161,2003/8/28,5580,5606,5547,5548,56306
162,2003/8/29,5559,5595,5520,5548,60756
163,2003/8/30,5590,5678,5573,5668,90966
164,2003/9/2,5690,5732,5668,5717,59214
165,2003/9/3,5735,5755,5681,5755,58264
166,2003/9/4,5780,5785,5670,5675,69392
167,2003/9/5,5675,5699,5633,5654,66168
168,2003/9/6,5680,5718,5635,5683,83710
169,2003/9/9,5669,5775,5636,5753,93110
170,2003/9/10,5788,5808,5680,5709,78560
171,2003/9/11,5678,5685,5617,5652,72230
172,2003/9/13,5644,5686,5622,5666,55764
173,2003/9/16,5670,5684,5635,5652,41734
174,2003/9/17,5635,5723,5633,5716,53734
175,2003/9/18,5758,5769,5737,5761,24436
176,2003/9/19,5750,5765,5691,5759,76978
177,2003/9/20,5782,5797,5723,5749,73082
178,2003/9/23,5717,5729,5688,5695,63196
179,2003/9/24,5681,5720,5675,5714,49926
180,2003/9/25,5723,5745,5682,5745,67398
181,2003/9/26,5660,5703,5644,5688,59488
182,2003/9/27,5668,5715,5665,5687,58158
183,2003/9/30,5670,5689,5660,5665,37460
184,2003/10/1,5681,5689,5641,5641,42054
185,2003/10/2,5625,5643,5596,5630,51108
186,2003/10/3,5663,5730,5656,5720,75302
187,2003/10/4,5710,5747,5708,5742,53462
188,2003/10/7,5775,5850,5772,5829,73552
189,2003/10/8,5843,5855,5826,5855,41288
190,2003/10/9,5850,5859,5815,5834,47976
191,2003/10/10,5830,5894,5826,5894,50342
192,2003/10/14,5940,6028,5901,6028,50092
193,2003/10/15,6032,6040,5955,5979,37228
194,2003/10/16,6000,6000,5944,5950,23114
195,2003/10/17,5965,6084,5952,6060,69452
196,2003/10/18,6074,6088,6051,6080,33712
